time,ConcA,ConcB,ConcC,ConcD
0.0,8.3831807046303,0.7004210041652941,0.7317251396734414,3.7636950696241755
0.1,7.3816393829306435,2.3534476551783814,-0.149167202340464,2.799063728706167
0.2,9.669862019869557,4.151043878869613,-0.5257713827479253,2.0790487875040418
0.30000000000000004,10.689100523928635,6.60860336439704,-1.002894304835579,0.45134467976739556
0.4,13.180640419413574,7.992386789231997,-2.2786839319917123,-1.2377123429997103
0.5,15.750707270184767,11.737175545680735,-1.8763265609674697,-3.981932702041548
0.6000000000000001,19.409675503499976,13.909085349176868,-1.3415062703097398,-6.098696415704299
0.7000000000000001,21.815556855433687,15.79455864359992,-0.10910450017355444,-10.375146030526365
0.8,24.28945434331898,14.753437679970816,0.9154757531517287,-11.8748080358347
0.9,23.260453152641137,11.213719823274225,5.308968509886372,-11.949447829549431
1.0,22.257521153113604,6.083920897426717,8.345138189788727,-10.236545266677798
1.1,22.857323054638183,-0.21839799296038787,15.502794229199159,-10.852677723540449
1.2000000000000002,26.093738204879266,-3.991135179854786,23.809044764703373,-14.98205931881326
1.3,36.218130492316156,-6.124367076765521,35.690911650944805,-23.867779580446527
1.4000000000000001,55.68475476189557,-6.542491484644585,55.67970473583621,-42.49912812350634
1.5,87.78441286019748,-8.015584965520008,89.58862748070312,-75.50015805340986
1.6,141.78710102358585,-7.527078197662132,142.85180297446362,-129.52106731449203
1.7000000000000002,230.3855293728032,-7.009030947276667,231.92184126497494,-218.4676225630039
1.8,378.36949072514767,-7.988090642896656,379.22291944228414,-365.4218781894753
1.9000000000000001,619.6943321002012,-7.942395584253953,621.3554971228398,-607.5118807756178
2.0,1020.1040945640406,-7.873302484030005,1020.9601849812328,-1008.0045325125815
2.1,1678.2618184589617,-7.596314221289603,1680.4434383302316,-1666.5952114128354
2.2,2764.989755398804,-7.554616213504132,2766.551202428571,-2752.81707545696
2.3000000000000003,4555.339358960187,-8.720236912677676,4557.817450032361,-4545.67443727759
2.4000000000000004,7510.559961800715,-7.87207791880204,7510.970433927459,-7497.136633347333
2.5,12379.613233152757,-7.816984852307313,12380.648664438213,-12366.856864855616
2.6,20407.34953506045,-7.643573111029267,20410.389585775778,-20395.163346610996
2.7,33644.906535644805,-7.731563244305579,33645.42980605556,-33631.825480308864
2.8000000000000003,55467.67215172417,-7.565738559334084,55468.687809073,-55454.50324287375
2.9000000000000004,91447.86022109569,-8.440514332187297,91449.50873592898,-91436.22092281004
3.0,150769.2786056313,-7.954325949786825,150771.29016561108,-150757.45928072467
3.1,248575.45330628037,-8.6898735853288,248576.3522568563,-248562.2185224532
3.2,409827.9427369419,-8.761233832790422,409829.5760218315,-409815.64857300336
3.3000000000000003,675688.3346738595,-8.128551449969063,675691.3702782788,-675676.3520314667
3.4000000000000004,1114020.4479757524,-8.192790825293955,1114022.8864308652,-1114009.64625957
3.5,1836707.615132077,-8.269522534755366,1836709.3828923807,-1836695.2835809484
3.6,3028214.710658901,-8.368803924446212,3028217.783738471,-3028204.41249298
3.7,4992682.346445935,-8.636164880671679,4992683.929890081,-4992670.812890936
3.8000000000000003,8231539.3710852275,-8.202649029053905,8231540.836378652,-8231527.822597074
3.9000000000000004,13571512.396909479,-8.01823398477514,13571514.988505902,-13571500.955189455
4.0,22375639.181313615,-8.841103471910133,22375640.880899254,-22375626.82442736
4.1000000000000005,36891190.701552875,-8.546745460872284,36891193.25445444,-36891178.931881055
4.2,60823291.56702239,-8.955508731799945,60823294.00745962,-60823279.67680658
4.3,100280657.90600802,-8.59944919304645,100280659.55663684,-100280646.87192495
4.4,165334855.59461212,-8.265423026028879,165334858.06571457,-165334844.85509557
4.5,272591113.2911192,-8.122545616836073,272591113.7330213,-272591100.31935304
4.6000000000000005,449426762.061591,-8.031006037764358,449426764.01654935,-449426750.3682571
4.7,740979485.7474514,-7.801673323240007,740979485.9691327,-740979473.4709963
4.800000000000001,1221668716.0581286,-7.8984291542051785,1221668718.101045,-1221668704.9779866
4.9,2014191242.4385736,-8.63390625320841,2014191243.2482212,-2014191229.6683538
5.0,3320840170.319261,-8.370989459933256,3320840171.881563,-3320840157.859796
5.1000000000000005,5475139932.1422,-7.663244052556025,5475139935.163672,-5475139921.3051405
5.2,9026980059.849258,-7.858378078403544,9026980060.356102,-9026980046.882353
5.300000000000001,14882974685.555641,-8.443675134170803,14882974687.980658,-14882974674.232767
5.4,24537878172.322914,-7.161957737483986,24537878173.484295,-24537878159.279915
5.5,40456123649.063446,-7.621471874661916,40456123652.25491,-40456123637.11561
5.6000000000000005,66700872908.98471,-7.920391252089955,66700872910.88714,-66700872896.11752
5.7,109971155150.79292,-7.997989099599682,109971155153.77899,-109971155138.44011
5.800000000000001,181311787321.89548,-7.976702527777966,181311787323.50156,-181311787310.16965
5.9,298932617211.1632,-9.151493034840598,298932617212.2076,-298932617199.12036
6.0,492856580640.17883,-7.925761613211708,492856580642.0395,-492856580627.9142
6.1000000000000005,812583183215.1587,-7.816831457691632,812583183216.4744,-812583183202.5272
6.2,1339723205084.3374,-8.201459032812451,1339723205086.4917,-1339723205072.997
6.300000000000001,2208830181078.34,-8.055247401867048,2208830181079.91,-2208830181065.9185
